name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url,processing_notes,hidden
DESMOPHEN 1200,DESMOPHEN 1200,,19.4,7.4,6.0,9.8,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 1200/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 1200"" manufacturer product page","PENDING|brave:""DESMOPHEN 1200"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 1200"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOPHEN 1700,DESMOPHEN 1700,,17.9,9.6,5.9,8.2,polyurethane precursor,polyester/polyether polyol,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOPHEN 1700/property/IUPACName/JSON,Covestro polyol for polyurethane synthesis,Covestro polyol for polyurethane synthesis,,"PENDING|brave:""DESMOPHEN 1700"" manufacturer product page","PENDING|brave:""DESMOPHEN 1700"" technical data sheet filetype:pdf","PENDING|brave:""DESMOPHEN 1700"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
DESMOLAC 4200,DESMOLAC 4200,,18.7,9.6,9.9,8.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/DESMOLAC 4200/property/IUPACName/JSON,PENDING|haiku: composition of DESMOLAC 4200,PENDING|haiku: composition of DESMOLAC 4200,,"PENDING|brave:""DESMOLAC 4200"" manufacturer product page","PENDING|brave:""DESMOLAC 4200"" technical data sheet filetype:pdf","PENDING|brave:""DESMOLAC 4200"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
MACRYNAL SM 510N,MACRYNAL SM 510N,,19.9,8.1,6.0,9.8,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/MACRYNAL SM 510N/property/IUPACName/JSON,PENDING|haiku: composition of MACRYNAL SM 510N,PENDING|haiku: composition of MACRYNAL SM 510N,SM,"PENDING|brave:""MACRYNAL SM 510N"" manufacturer product page","PENDING|brave:""MACRYNAL SM 510N"" technical data sheet filetype:pdf","PENDING|brave:""MACRYNAL SM 510N"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
SUPER BECKACITE 1001,SUPER BECKACITE 1001,,23.26,6.55,8.35,19.85,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/SUPER BECKACITE 1001/property/IUPACName/JSON,PENDING|haiku: composition of SUPER BECKACITE 1001,PENDING|haiku: composition of SUPER BECKACITE 1001,SUPER,"PENDING|brave:""SUPER BECKACITE 1001"" manufacturer product page","PENDING|brave:""SUPER BECKACITE 1001"" technical data sheet filetype:pdf","PENDING|brave:""SUPER BECKACITE 1001"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PHENODUR 373U,PHENODUR 373U,,19.74,11.62,14.59,12.69,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PHENODUR 373U/property/IUPACName/JSON,PENDING|haiku: composition of PHENODUR 373U,PENDING|haiku: composition of PHENODUR 373U,,"PENDING|brave:""PHENODUR 373U"" manufacturer product page","PENDING|brave:""PHENODUR 373U"" technical data sheet filetype:pdf","PENDING|brave:""PHENODUR 373U"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PLIOLYTE S-100,PLIOLYTE S-100,,16.47,0.37,2.84,8.59,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PLIOLYTE S-100/property/IUPACName/JSON,PENDING|haiku: composition of PLIOLYTE S-100,PENDING|haiku: composition of PLIOLYTE S-100,,"PENDING|brave:""PLIOLYTE S-100"" manufacturer product page","PENDING|brave:""PLIOLYTE S-100"" technical data sheet filetype:pdf","PENDING|brave:""PLIOLYTE S-100"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PICCOPALE 110,PICCOPALE 110,,17.55,1.19,3.6,6.55,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PICCOPALE 110/property/IUPACName/JSON,PENDING|haiku: composition of PICCOPALE 110,PENDING|haiku: composition of PICCOPALE 110,,"PENDING|brave:""PICCOPALE 110"" manufacturer product page","PENDING|brave:""PICCOPALE 110"" technical data sheet filetype:pdf","PENDING|brave:""PICCOPALE 110"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
PICCORONE 450L,PICCORONE 450L,,19.42,5.48,5.77,9.62,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/PICCORONE 450L/property/IUPACName/JSON,PENDING|haiku: composition of PICCORONE 450L,PENDING|haiku: composition of PICCORONE 450L,,"PENDING|brave:""PICCORONE 450L"" manufacturer product page","PENDING|brave:""PICCORONE 450L"" technical data sheet filetype:pdf","PENDING|brave:""PICCORONE 450L"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
POLYSAR 5630,POLYSAR 5630,,17.55,3.35,2.7,6.55,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/POLYSAR 5630/property/IUPACName/JSON,PENDING|haiku: composition of POLYSAR 5630,PENDING|haiku: composition of POLYSAR 5630,,"PENDING|brave:""POLYSAR 5630"" manufacturer product page","PENDING|brave:""POLYSAR 5630"" technical data sheet filetype:pdf","PENDING|brave:""POLYSAR 5630"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
HYCAR 1052,HYCAR 1052,,18.62,8.78,4.17,9.62,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/HYCAR 1052/property/IUPACName/JSON,PENDING|haiku: composition of HYCAR 1052,PENDING|haiku: composition of HYCAR 1052,HYCAR,"PENDING|brave:""HYCAR 1052"" manufacturer product page","PENDING|brave:""HYCAR 1052"" technical data sheet filetype:pdf","PENDING|brave:""HYCAR 1052"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
BUNA HULS B10,BUNA HULS B10,,17.53,2.25,3.42,6.55,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/BUNA HULS B10/property/IUPACName/JSON,PENDING|haiku: composition of BUNA HULS B10,PENDING|haiku: composition of BUNA HULS B10,BUNA; HULS,"PENDING|brave:""BUNA HULS B10"" manufacturer product page","PENDING|brave:""BUNA HULS B10"" technical data sheet filetype:pdf","PENDING|brave:""BUNA HULS B10"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
CARIFLEX IR 305,CARIFLEX IR 305,,16.57,1.41,-0.82,9.62,rubber,synthetic polyisoprene (IR),material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/CARIFLEX IR 305/property/IUPACName/JSON,"Shell/Kraton synthetic polyisoprene; cis-1,4-PI","Shell/Kraton synthetic polyisoprene; cis-1,4-PI",IR,"PENDING|brave:""CARIFLEX IR 305"" manufacturer product page","PENDING|brave:""CARIFLEX IR 305"" technical data sheet filetype:pdf","PENDING|brave:""CARIFLEX IR 305"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
LUTONAL IC/1203,LUTONAL IC/1203,,14.2,2.5,4.6,12.4,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/LUTONAL IC/1203/property/IUPACName/JSON,PENDING|haiku: composition of LUTONAL IC/1203,PENDING|haiku: composition of LUTONAL IC/1203,IC,"PENDING|brave:""LUTONAL IC/1203"" manufacturer product page","PENDING|brave:""LUTONAL IC/1203"" technical data sheet filetype:pdf","PENDING|brave:""LUTONAL IC/1203"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
LUTONAL I60,LUTANAL I60,,16.9,2.5,4.0,7.2,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/LUTONAL I60/property/IUPACName/JSON,PENDING|haiku: composition of LUTONAL I60,PENDING|haiku: composition of LUTONAL I60,,"PENDING|brave:""LUTONAL I60"" manufacturer product page","PENDING|brave:""LUTONAL I60"" technical data sheet filetype:pdf","PENDING|brave:""LUTONAL I60"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; FIX6: LUTANAL I60 → LUTONAL I60; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
POLYVINYLBUTYL ETHER,POLYVINYLBUTYL ETHER,,17.4,4.3,8.4,7.4,PENDING|haiku:classify,PENDING|haiku:subclassify,material,literature,0.9,1,hsp_polymers_9,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,PENDING|pubchem:name/POLYVINYLBUTYL ETHER/property/IUPACName/JSON,PENDING|haiku: composition of POLYVINYLBUTYL ETHER,PENDING|haiku: composition of POLYVINYLBUTYL ETHER,ETHER,"PENDING|brave:""POLYVINYLBUTYL ETHER"" manufacturer product page","PENDING|brave:""POLYVINYLBUTYL ETHER"" technical data sheet filetype:pdf","PENDING|brave:""POLYVINYLBUTYL ETHER"" SDS filetype:pdf",hsp_polymers_9; source=a2only.pdf; pipeline_v9_fitz; [CAS] PENDING|pubchem/cascc: trade name CAS lookup required,false
