name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,subclass,product_url
Versamid 125,VERSAMID 125,,24.9,3.1,18.7,20.3,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,Dimer acid polyamide,
Versamid 140,VERSAMID 140,,26.9,2.4,18.5,24.0,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,Dimer acid polyamide,
Desmophen 651,DESMOPHEN 651,,17.7,10.6,11.6,9.5,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,Polyester polyol,
Desmophen 800,DESMOPHEN 800,,19.1,12.2,9.9,8.0,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,Polyester polyol,
Desmophen 850,DESMOPHEN 850,,21.54,14.94,12.28,16.78,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyether polyol,polyurethane polyol,PU polyol; polyether polyol,PU,Polyether polyol,
Desmophen 1100,DESMOPHEN 1100,,16.0,13.1,9.2,11.4,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,Polyester polyol,
Desmophen 1150,DESMOPHEN 1150,,20.6,7.8,11.6,13.1,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polycarbonate polyol,polycarbonate diol,polycarbonate polyol; PU polyol,PU,Polycarbonate polyol,
Desmophen 1200,DESMOPHEN 1200,,19.4,7.4,6.0,9.8,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyester polyol,polyurethane polyol,PU polyol,PU,Polyester polyol,
Desmophen 1700,DESMOPHEN 1700,,17.9,9.6,5.9,8.2,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Polyester polyol, low viscosity",polyurethane polyol,PU polyol; polyester polyol,PU,Polyester polyol,
Desmolac 4200,DESMOLAC 4200,,18.7,9.6,9.9,8.2,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Polyurethane lacquer resin,polyurethane lacquer resin,PU lacquer; two-component PU,PU,PU lacquer,
Macrynal SM 510N,MACRYNAL SM 510N,,19.9,8.1,6.0,9.8,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Hydroxy-functional acrylic resin,hydroxy acrylic resin,hydroxy acrylic; thermoset acrylic,,Hydroxy acrylic,
SUPER BECKACITE 1001,SUPER BECKACITE 1001,,23.26,6.55,8.35,19.85,Polyester & Alkyd,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Alkyd resin,alkyd resin,oil-modified alkyd,,Alkyd,
Phenodur 373U,PHENODUR 373U,,19.74,11.62,14.59,12.69,Amino Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Phenol-modified melamine resin,amino resin,phenol-amino resin; Phenodur,,Phenol-amino resin,
PLIOLYTE S-100,PLIOLYTE S-100,,16.47,0.37,2.84,8.59,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Styrene-butadiene copolymer resin,SB resin,styrene-butadiene resin,,SB resin,
Piccopale 110,PICCOPALE 110,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Aliphatic C5 hydrocarbon resin,aliphatic hydrocarbon resin,C5 resin; aliphatic resin,,C5 HC resin,
Piccorone 450L,PICCORONE 450L,,19.42,5.48,5.77,9.62,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Cyclopentadiene/aromatic hydrocarbon resin,C5/C9 resin,cyclopentadiene resin,,C5/C9 resin,
POLYSAR 5630,POLYSAR 5630,,17.55,3.35,2.7,6.55,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(styrene-co-butadiene),styrene-butadiene rubber,SBR,,SBR,
Hycar 1052,HYCAR 1052,,18.62,8.78,4.17,9.627248,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(acrylonitrile-co-butadiene),nitrile rubber,NBR; nitrile rubber,,NBR,
BUNA HULS B10,BUNA HULS B10,,17.53,2.25,3.42,6.55,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(butadiene-co-styrene),SBR / butadiene rubber,SBR; synthetic rubber,,SBR,
LUTONAL IC/1203,LUTONAL IC/1203,,14.2,2.5,4.6,12.4,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(isobutyl vinyl ether),polyvinyl isobutyl ether,PIB-VE; PVIBE,,Polyvinyl ether,
LUTANAL I60,LUTANAL I60,,16.9,2.5,4.0,7.2,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(n-butyl vinyl ether),polyvinyl n-butyl ether,PnBVE; PVBE,,Polyvinyl ether,
POLYVINYLBUTYL ETHER,POLYVINYLBUTYL ETHER,,17.4,4.3,8.4,7.4,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(butyl vinyl ether),polyvinyl butyl ether,PVBE,,Polyvinyl ether,
LIGNIN,LIGNIN,9005-53-2,20.17,14.61,15.04,11.66,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Lignin,lignin,lignosulfonate; technical lignin,,Lignin,
MODAFLOW,MODAFLOW,,16.1,3.7,7.9,8.9,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(2-ethylhexyl acrylate-co-ethyl acrylate),acrylic flow modifier,polyacrylate flow additive,,Flow modifier,
VIPLA KR,VIPLA KR (PVC),,18.4,6.6,8.0,3.0,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(vinyl chloride),polyvinyl chloride,PVC,,PVC,
CERECLOR 70,CERECLOR 70,56509-64-9,20.0,8.3,6.8,9.8,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP70,,Chlorinated paraffin,
CHLOROPAR 40,CHLOROPAR 40,,17.0,7.6,7.9,11.9,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorinated paraffin,chlorinated paraffin,chloroparaffin; CP40,,Chlorinated paraffin,
PERGUT S 5,PERGUT S 5,,17.4,9.5,3.8,10.0,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,PERGUT S 5,PERGUT S 5,,Chlorinated/Halogenated Rubber,
ALLOPREN R10,ALLOPREN R10,,17.4,4.3,3.9,6.1,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorinated natural rubber,chlorinated rubber,CR; chlorinated rubber,,Chlorinated rubber,
PARLON P 10,PARLON P 10,,20.26,6.32,5.4,10.64,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorinated rubber,chlorinated rubber,CR; chloroprene rubber,,Chlorinated rubber,
HYPALON 20,HYPALON 20,,18.1,3.4,4.9,3.6,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,CSM,
HYPALON 30,HYPALON 30,,18.2,4.7,2.0,5.0,Elastomer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Chlorosulfonated polyethylene,chlorosulfonated PE,CSM; CSPE,,CSM,
ALPEX,ALPEX,,19.9,0.0,0.0,9.4,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(ethylene-co-propylene),ethylene-propylene copolymer,EP copolymer; polyolefin wax,,EP copolymer,
1/2-sec.-NITRO CELLULOSE H 23,1/2-sec.-NITRO CELLULOSE  H 23,,15.41,14.73,8.84,11.46,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,"Cellulose nitrate, 1/2-second grade",nitrocellulose,NC; cellulose nitrate,,Nitrocellulose,
CELLOLYN 102,CELLOLYN 102,,21.73,0.94,8.53,15.75,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Pentaerythritol ester of rosin modified with cellulose,rosin-modified cellulose ester,rosin ester,,Rosin ester,
Pentalyn 255,PENTALYN 255,,17.55,9.37,14.32,10.64,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Glycerol ester of hydrogenated rosin,rosin ester,hydrogenated rosin ester; Pentalyn,,Rosin ester,
Pentalyn 830,PENTALYN 830,,20.03,5.81,10.93,11.66,Natural & Petroleum Resin,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Pentalyn 830,Pentalyn 830,,,
ESTER GUM BL,ESTER GUM BL,,19.64,4.73,7.77,10.64,Cellulosic Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,ESTER GUM BL,ESTER GUM BL,,,
Versamid 961,VERSAMID 961,,18.9,9.6,11.1,6.2,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Versamid 961,Versamid 961,PA,,
Versamid 965,VERSAMID 965,,20.15,6.04,12.9,9.207248,Polyamide,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Versamid 965,Versamid 965,PA,,
Desmodur L,DESMODUR  L,,17.5,11.3,5.9,8.5,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Desmodur L,Desmodur L,PU,,
Desmodur N,DESMODUR N,28574-90-5,17.6,10.0,3.7,9.3,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Desmodur N,Desmodur N,PU,,
SUPRASEC F-5100,SUPRASEC F-5100,,19.7,12.9,12.8,11.4,Polyurethane,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,SUPRASEC F-5100,SUPRASEC F-5100,,,
Mowital B 30 H,MOWITAL B 30 H,,18.6,12.9,10.3,8.3,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(vinyl butyral),polyvinyl butyral,PVB; Mowital,,PVB,
Mowital B 60 H,MOWITAL B 60 H,,20.2,11.2,13.3,11.2,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Mowital B 60 H,Mowital B 60 H,,,
BUTV AR B 76,BUTV AR B 76,,18.6,4.36,13.03,10.64,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,BUTV AR B 76,BUTV AR B 76,,,
LUCITE 2042 PEMA,LUCITE 2042 PEMA,,17.6,9.66,3.97,10.64,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,LUCITE 2042 PEMA,LUCITE 2042 PEMA,,,
LUCITE 2044 PMMA,LUCITE 2044 PMMA,,16.2,6.8,5.7,9.1,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,LUCITE 2044 PMMA,LUCITE 2044 PMMA,,,
PLEXIGUM MB319,PLEXIGUM MB319,,18.6,10.8,4.1,11.5,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,PLEXIGUM MB319,PLEXIGUM MB319,,,
PLEXIGUM M527,PLEXIGUM M527,,18.4,9.4,6.5,10.7,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,PLEXIGUM M527,PLEXIGUM M527,,,
PMMA,PMMA,,18.64,10.52,7.51,8.59,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass; perspex,PMMA,,https://pubchem.ncbi.nlm.nih.gov/compound/6328
MOWILITH 50 PVAC,MOWILITH 50 PVAC,,20.93,11.27,9.66,13.71,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,MOWILITH 50 PVAC,MOWILITH 50 PVAC,,,
POLYSTYRENE LG,POLYSTYRENE LG,,22.28,5.75,4.3,12.68,Styrenic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,POLYSTYRENE LG,POLYSTYRENE LG,,,
LAROFLEX MP 45,LAROFLEX MP 45,,18.4,8.4,5.8,9.0,Acrylic,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,LAROFLEX MP 45,LAROFLEX MP 45,,,
VILIT MB 30,VILIT MB 30,,20.0,8.3,6.7,9.4,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VILIT MB 30,VILIT MB 30,,,
VILIT MC 31,VILIT MC 31,,20.0,8.3,6.7,9.4,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VILIT MC 31,VILIT MC 31,,,
VILIT MC 39,VILIT MC 39,,18.4,7.6,6.7,6.8,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VILIT MC 39,VILIT MC 39,,,
VINYLITE VAGD,VINYLITE VAGD,,17.1,10.4,6.5,7.5,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VAGD,VINYLITE VAGD,,,
VINYLITE VAGH,VINYLITE VAGH,,16.5,10.9,6.4,7.7,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VAGH,VINYLITE VAGH,,,
VINYLITE VMCA,VINYLITE VMCA,,17.7,11.1,6.9,8.7,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VMCA,VINYLITE VMCA,,,
VINYLITE VMCC,VINYLITE VMCC,,17.6,11.1,6.8,8.8,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VMCC,VINYLITE VMCC,,,
VINYLITE VMCH,VINYLITE VMCH,,17.6,11.1,6.4,8.6,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VMCH,VINYLITE VMCH,,,
VINYLITE VYHH,VINYLITE VYHH,,17.4,10.2,5.9,7.8,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VYHH,VINYLITE VYHH,,,
VINYLITE VYLF,VINYLITE VYLF,,18.1,10.3,4.2,8.3,Vinyl Polymer,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,VINYLITE VYLF,VINYLITE VYLF,,,
Alftalat AC 366,ALFTALAT AC 366,,18.6,10.0,5.0,10.4,Polyester & Alkyd,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Alftalat AC 366,Alftalat AC 366,,,
Alftalat AM 756,ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Polyester & Alkyd,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Alftalat AM 756,Alftalat AM 756,,,
Alftalat AN 896,ALFTALAT AN 896,,22.9,15.2,7.6,18.1,Polyester & Alkyd,0.9,1,hsp_polymers_5,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,Alftalat AN 896,Alftalat AN 896,,,
