name,name_input,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molar_volume,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_common_all,name_acronyms,ghs_hazard,confidence,source_count,source,source_url,processing_notes
"1,1-Diallyloxyethane","1,1-Diallyloxyethane",20682-69-3,CC(OCC=C)OCC=C,C8H14O2,15.4,5.1,4.8,163.3,142.2,,,ether,Organooxygen compounds,Ethers,3-(1-prop-2-enoxyethoxy)prop-1-ene,"1,1-Diallyloxyethane","1,1-Diallyloxyethane",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/225379,[REF] matched hsp_solvents_2
"1,1-Dibromo Ethylene","1,1-Dibromo Ethylene",,,,15.1,4.8,7.0,85.3,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1-Dibromo Ethylene"
"1,1-Dibromoethane","1,1-Dibromoethane",557-91-5,CC(Br)Br,C2H4Br2,18.5,8.4,8.8,91.4,187.86,109.5,,halogenated,Organobromides,,"1,1-dibromoethane","1,1-Dibromoethane","1,1-Dibromoethane",,H301; H302; H311; H312; H315; H319; H331; H332; H335; H351,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11201,[REF] matched hsp_solvents_2
"1,1-Dichloroacetone","1,1-Dichloroacetone",513-88-2,CC(=O)C(Cl)Cl,C3H4Cl2O,17.1,7.6,5.4,97.3,126.97,120.1,,ether,Organooxygen compounds,Carbonyl compounds,"1,1-dichloropropan-2-one","1,1-Dichloroacetone","1,1-Dichloroacetone",,H226; H301; H302; H314; H318; H319; H400; H410,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10567,[REF] matched hsp_solvents_2
"1,1-Dichloroethane","1,1-Dichloroethane",75-34-3,CC(Cl)Cl,C2H4Cl2,16.5,7.8,3.0,84.2,98.96,,,halogenated,Organochlorides,,"1,1-dichloroethane","1,1-Dichloroethane","1,1-Dichloroethane",,H225; H302; H319; H335; H412; H332; H315; H336; H341; H370; H402; H411; H333; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6365,[REF] matched hsp_solvents_2
"1,1-Dichloroethylene","1,1-Dichloroethylene",75-35-4,ClC(Cl)=C,C2H2Cl2,16.4,5.2,2.4,79.9,96.94,31.4,,ether,Organooxygen compounds,Ketene acetals,"1,1-dichloroethene","1,1-Dichloroethylene","1,1-Dichloroethylene",,H224; H332; H351; H302; H319; H372; H412; H341; H350; H401; H336; H361; H370; H305; H331; H373; H301; H315,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6366,[REF] matched hsp_solvents_2
"1,1-Dichloropropane","1,1-Dichloropropane",78-99-9,CCC(Cl)Cl,C3H6Cl2,16.1,7.8,3.5,98.3,112.98,88.1,,halogenated,Organochlorides,,"1,1-dichloropropane","1,1-Dichloropropane","1,1-Dichloropropane",,H225; H315; H319; H332; H335; H351; H402; H412,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/6573,[REF] matched hsp_solvents_2
"1,1-Dichloropropene","1,1-Dichloropropene",563-58-6,CC=C(Cl)Cl,C3H4Cl2,16.9,6.7,2.9,93.5,110.97,76.6,,ether,Organooxygen compounds,Ketene acetals,"1,1-dichloroprop-1-ene","1,1-Dichloropropene","1,1-Dichloropropene",,H225; H301; H412,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11245,[REF] matched hsp_solvents_2
"1,1-Diethoxy Butane","1,1-Diethoxy Butane",3658-95-5,CCCC(OCC)OCC,C8H18O2,15.4,4.9,4.6,177.6,146.23,143.1,,ether,Organooxygen compounds,Ethers,"1,1-diethoxybutane","1,1-Diethoxy Butane","1,1-Diethoxy Butane",,H225; H226; H315; H317; H319,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/77225,[REF] matched hsp_solvents_2
"1,1-Diethoxy Ethane","1,1-Diethoxy Ethane",105-57-7,CCOC(C)OCC,C6H14O2,15.0,3.4,4.0,143.9,118.17,,,ether,Organooxygen compounds,Ethers,"1,1-diethoxyethane","1,1-Diethoxy Ethane","1,1-Diethoxy Ethane",,H225; H315; H319; H318; H320; H335; H336,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7765,[REF] matched hsp_solvents_2
"1,1-Diethoxy Ethane (Acetal)","1,1-Diethoxy Ethane (Acetal)",,,,15.2,5.4,5.3,142.2,,,,glycol ether,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1-Diethoxy Ethane (Acetal)"
"1,1-Difluoroet ylene","1,1-Difluoroet ylene",,,,15.0,6.8,3.6,58.2,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1-Difluoroet ylene"
"1,1-Difluoroethan","1,1-Difluoroethan",,,,14.9,10.2,3.0,69.5,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,1-Difluoroethan"
"1,1-Dimethoxy Ethane","1,1-Dimethoxy Ethane",534-15-6,COC(C)OC,C4H10O2,15.1,4.9,4.9,106.7,90.12,62.9,,ether,Organooxygen compounds,Ethers,"1,1-dimethoxyethane","1,1-Dimethoxy Ethane","1,1-Dimethoxy Ethane",,H225,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10795,[REF] matched hsp_solvents_2
"1,1-Dimethyl Hydrazine","1,1-Dimethyl Hydrazine",57-14-7,CN(C)N,C2H8N2,15.3,5.9,11.0,76.0,60.1,64.0,,amine,Organonitrogen compounds,Hydrazines and derivatives,"1,1-dimethylhydrazine","1,1-Dimethyl Hydrazine","1,1-Dimethyl Hydrazine",,H225; H301; H314; H331; H350; H411; H311; H335; H317; H312; H315; H319; H330; H341; H351; H370; H372; H340; H361,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/5976,[REF] matched hsp_solvents_2
"1,2,3,4-Tetramethylbenzene","1,2,3,4-Tetramethylbenzene",488-23-3,Cc1ccc(C)c(C)c1C,C10H14,18.8,0.5,0.5,148.3,134.22,,,aromatic,Benzene and substituted derivatives,,"1,2,3,4-tetramethylbenzene","1,2,3,4-Tetramethylbenzene","1,2,3,4-Tetramethylbenzene",,H315; H319; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10263,[REF] matched hsp_solvents_2
"1,2,3,5-Tetramethylbenzene","1,2,3,5-Tetramethylbenzene",527-53-7,Cc1cc(C)c(C)c(C)c1,C10H14,18.6,0.5,0.5,150.8,134.22,,,aromatic,Benzene and substituted derivatives,,"1,2,3,5-tetramethylbenzene","1,2,3,5-Tetramethylbenzene","1,2,3,5-Tetramethylbenzene",,H315; H319,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10695,[REF] matched hsp_solvents_2
"1,2,3-Triazole","1,2,3-Triazole",288-36-8,[nH]1ccnn1,C2H3N3,20.7,8.8,15.0,58.2,69.07,,,heterocyclic,Azoles,Triazoles,2H-triazole,"1,2,3-Triazole","1,2,3-Triazole",,H315; H319; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/67516,[REF] matched hsp_solvents_2
"1,2,3-Trichloro Propene","1,2,3-Trichloro Propene",96-19-5,ClCC(Cl)=CCl,C3H3Cl3,17.8,15.7,3.4,105.0,145.41,,,halogenated,Vinyl halides,Vinyl chlorides,"1,2,3-trichloroprop-1-ene","1,2,3-Trichloro Propene","1,2,3-Trichloro Propene",,H227; H301; H302; H311; H315; H319; H330; H331; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7286,[REF] matched hsp_solvents_2
"1,2,3-Trichloropropane","1,2,3-Trichloropropane",96-18-4,ClCC(Cl)CCl,C3H5Cl3,17.8,12.3,3.4,106.1,147.43,,,halogenated,Organochlorides,,"1,2,3-trichloropropane","1,2,3-Trichloropropane","1,2,3-Trichloropropane",,H302; H312; H332; H350; H360; H301; H311; H319; H331; H341; H372; H373; H411; H227; H330; H335; H370; H401; H336; H371,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7285,[REF] matched hsp_solvents_2
"1,2,4,5-Tetrachlorobenzene 1,2,4,5-T","1,2,4,5-Tetrachlorobenzene 1,2,4,5-T",,,,21.2,10.7,3.4,116.2,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,2,4,5-Tetrachlorobenzene 1,2,4,5-T"
"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",120-82-1,Clc1ccc(Cl)c(Cl)c1,C6H3Cl3,20.2,6.0,3.2,125.5,181.4,213.6,,aromatic,Benzene and substituted derivatives,Halobenzenes,"1,2,4-trichlorobenzene","1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",,H302; H315; H400; H410; H319; H335; H336; H351; H373; H316,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/13,[REF] matched hsp_solvents_2
"1,2-Butadiene","1,2-Butadiene",590-19-2,C[CH]=[C]=[CH2],C4H6,14.7,1.7,6.2,82.3,54.09,10.9,,hydrocarbon,Acyclic allenes,,"buta-1,2-diene","1,2-Butadiene","1,2-Butadiene",,H220; H224; H280; H411,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/11535,[REF] matched hsp_solvents_2
"1,2-Chlorobromoethylene","1,2-Chlorobromoethylene",,,,17.2,6.6,2.3,78.7,,,,halogenated,,,"1,2-chlorobromoethylene","1,2-Chlorobromoethylene","1,2-Chlorobromoethylene",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Chlorobromoethylene"
"1,2-Dibromoethylene","1,2-Dibromoethylene",540-49-8,BrC=CBr,C2H2Br2,18.0,4.9,3.0,82.7,185.85,111.9,,halogenated,Vinyl halides,Vinyl bromides,"1,2-dibromoethene","1,2-Dibromoethylene","1,2-Dibromoethylene",,H301; H315; H319; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10897,[REF] matched hsp_solvents_2
"1,2-Dichloroethylene (cis)","1,2-Dichloroethylene (cis)",156-59-2,,,17.0,8.0,3.2,75.5,,,,halogenated,Vinyl halides,Vinyl chlorides,"(Z)-1,2-dichloroethene","1,2-Dichloroethylene (Cis)","1,2-Dichloroethylene (Cis)",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Dichloroethylene (cis)"
"1,2-Dichloropropene (cis)","1,2-Dichloropropene (cis)",6923-20-2,,,17.0,8.5,2.9,93.9,,,,halogenated,Vinyl halides,Vinyl chlorides,"(Z)-1,2-dichloroprop-1-ene","1,2-Dichloropropene (Cis)","1,2-Dichloropropene (Cis)",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Dichloropropene (cis)"
"1,2-Dichlorotetrafluoroethane","1,2-Dichlorotetrafluoroethane",,,,12.6,1.8,0.0,117.6,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,2-Dichlorotetrafluoroethane"
"1,2-Dichlorovinyl Ethyl Ether","1,2-Dichlorovinyl Ethyl Ether",42345-82-4,CCOC(Cl)=CCl,C4H6Cl2O,16.9,10.5,6.0,117.8,140.99,,,halogenated,Vinyl halides,Vinyl chlorides,"1,2-dichloro-1-ethoxyethene","1,2-Dichlorovinyl Ethyl Ether","1,2-Dichlorovinyl Ethyl Ether",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/53440473,[REF] matched hsp_solvents_2
"1,2-Diethyl Benzene","1,2-Diethyl Benzene",135-01-3,CCc1ccccc1CC,C10H14,17.7,0.1,1.0,153.5,134.22,,,aromatic,Benzene and substituted derivatives,,"1,2-diethylbenzene","1,2-Diethyl Benzene","1,2-Diethyl Benzene",,H226; H304; H315; H319; H335; H411; H412; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/8657,[REF] matched hsp_solvents_2
"1,2-Dihydroxybenzene (Catechol)","1,2-Dihydroxybenzene (Catechol)",120-80-9,,,20.0,11.3,21.8,81.9,,,,alcohol,Phenols,Benzenediols,"benzene-1,2-diol","1,2-Dihydroxybenzene (Catechol)","1,2-Dihydroxybenzene (Catechol)",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Dihydroxybenzene (Catechol)"
"1,2-Dimethoxybenzene","1,2-Dimethoxybenzene",91-16-7,COc1ccccc1OC,C8H10O2,19.2,4.4,9.4,127.7,138.16,206.1,,aromatic,Benzene and substituted derivatives,Methoxybenzenes,"1,2-dimethoxybenzene","1,2-Dimethoxybenzene","1,2-Dimethoxybenzene",,H302; H371,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7043,[REF] matched hsp_solvents_2
"1,2-Dinitrobenzene","1,2-Dinitrobenzene",528-29-0,[O-][N+](=O)c1ccccc1[N+]([O-])=O,C6H4N2O4,20.6,22.7,5.4,107.4,168.11,,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,2-dinitrobenzene","1,2-Dinitrobenzene","1,2-Dinitrobenzene",,H300; H310; H330; H373; H400; H410; H370; H372; H317; H319; H361; H316; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10707,[REF] matched hsp_solvents_2
"1,2-Epoxy Butane","1,2-Epoxy Butane",,,,15.6,8.0,4.6,87.9,,,,other,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,2-Epoxy Butane"
"1,2-Epoxy-2-Propene","1,2-Epoxy-2-Propene",40079-14-9,C=C1CO1,C3H4O,16.5,8.6,6.7,70.0,56.06,,,hydrocarbon,Epoxides,,2-methylideneoxirane,"1,2-Epoxy-2-Propene","1,2-Epoxy-2-Propene",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/3029326,[REF] matched hsp_solvents_2
"1,2-Ethane Dithiol","1,2-Ethane Dithiol",540-63-6,,C2H6S2,17.9,7.2,8.7,83.9,94.2,146.1,,sulfur compound,Thiols,Alkylthiols,"ethane-1,2-dithiol","1,2-Ethane Dithiol","1,2-Ethane Dithiol",,H226; H301; H302; H310; H312; H319; H330,0.7,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/10902,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Ethane Dithiol"
"1,2-Methylenedioxybenzene","1,2-Methylenedioxybenzene",,,,19.0,6.7,5.9,114.8,,,,aromatic,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,2-Methylenedioxybenzene"
"1,2-Propadiene (Allene)","1,2-Propadiene (Allene)",463-49-0,,,15.3,3.0,6.8,60.1,,,,hydrocarbon,Acyclic allenes,,"propa-1,2-diene","1,2-Propadiene (Allene)","1,2-Propadiene (Allene)",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,2-Propadiene (Allene)"
"1,3,5-Trioxane","1,3,5-Trioxane",110-88-3,C1OCOCO1,C3H6O3,18.7,9.2,8.6,77.0,90.08,,,ether,Trioxanes,,"1,3,5-trioxane","1,3,5-Trioxane","1,3,5-Trioxane",,H228; H335; H361; H370; H372; H336; H360; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/8081,[REF] matched hsp_solvents_2
"1,3-Benzenediol","1,3-Benzenediol",108-46-3,Oc1cccc(O)c1,C6H6O2,18.0,8.4,21.0,87.5,110.11,276.9,,alcohol,Phenols,Benzenediols,"benzene-1,3-diol","1,3-Benzenediol","1,3-Benzenediol",,H302; H315; H317; H319; H370; H400; H371; H318; H372; H313; H333; H410,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/5054,[REF] matched hsp_solvents_2
"1,3-Butadiene","1,3-Butadiene",106-99-0,C=CC=C,C4H6,14.8,2.8,5.6,83.2,54.09,,,hydrocarbon,Unsaturated hydrocarbons,Olefins,"buta-1,3-diene","1,3-Butadiene","1,3-Butadiene",,H220; H340; H350; H280; H361; H412; H319; H335; H336; H360; H372; H373,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7845,[REF] matched hsp_solvents_2
"1,3-Butadiene-1,2-Di-Chloro","1,3-Butadiene-1,2-Di-Chloro",3574-40-1,,C4H4Cl2,17.0,10.7,2.8,102.5,122.98,,,halogenated,Vinyl halides,Vinyl chlorides,"(1Z)-1,2-dichlorobuta-1,3-diene","1,3-Butadiene-1,2-Di-Chloro","1,3-Butadiene-1,2-Di-Chloro",,,0.7,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/5463151,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,3-Butadiene-1,2-Di-Chloro"
"1,3-Butadiene-1-Chloro","1,3-Butadiene-1-Chloro",627-22-5,,C4H5Cl,15.6,8.5,2.0,92.2,88.53,,,halogenated,Vinyl halides,Vinyl chlorides,"1-chlorobuta-1,3-diene","1,3-Butadiene-1-Chloro","1,3-Butadiene-1-Chloro",,H225; H315; H319; H335; H373,0.7,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12311,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,3-Butadiene-1-Chloro"
"1,3-Butanediol","1,3-Butanediol",107-88-0,CC(O)CCO,C4H10O2,16.6,10.0,21.5,89.9,90.12,,,ether,Organooxygen compounds,Alcohols and polyols,"butane-1,3-diol","1,3-Butanediol","1,3-Butanediol",,H226,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7896,[REF] matched hsp_solvents_2
"1,3-Dichloro-2-butene","1,3-Dichloro-2-butene",926-57-8,CC(Cl)=CCCl,C4H6Cl2,16.9,7.8,2.7,107.7,124.99,127.1,,halogenated,Vinyl halides,Vinyl chlorides,"1,3-dichlorobut-2-ene","1,3-Dichloro-2-Butene","1,3-Dichloro-2-Butene",,H226; H301; H302; H312; H315; H319; H331; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/13556,[REF] matched hsp_solvents_2
"1,3-Dichloro-2-Fluorobenzene","1,3-Dichloro-2-Fluorobenzene",2268-05-5,Fc1c(Cl)cccc1Cl,C6H3Cl2F,19.4,9.1,2.7,117.1,164.99,168.6,,aromatic,Benzene and substituted derivatives,Halobenzenes,"1,3-dichloro-2-fluorobenzene","1,3-Dichloro-2-Fluorobenzene","1,3-Dichloro-2-Fluorobenzene",,H228; H315; H319; H335,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/137520,[REF] matched hsp_solvents_2
"1,3-Dichloro-2-Propanol","1,3-Dichloro-2-Propanol",96-23-1,OC(CCl)CCl,C3H6Cl2O,17.5,9.9,14.6,95.5,128.98,175.2,,alcohol,Halohydrins,Chlorohydrins,"1,3-dichloropropan-2-ol","1,3-Dichloro-2-Propanol","1,3-Dichloro-2-Propanol",,H301; H312; H350; H311; H314; H318; H330; H335; H336; H341; H370; H373; H227; H315; H319; H351; H372,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/7289,[REF] matched hsp_solvents_2
"1,3-Dichloropropane","1,3-Dichloropropane",,,,18.6,8.2,3.0,95.1,,,,halogenated,,,,,,,,0.7,1,hsp_polymers_6,,"[CAS] PubChem CID not found for: 1,3-Dichloropropane"
"1,3-Dimethoxy Butane","1,3-Dimethoxy Butane",10143-66-5,COCCC(C)OC,C6H14O2,15.6,5.5,5.2,140.0,118.17,,,ether,Organooxygen compounds,Ethers,"1,3-dimethoxybutane","1,3-Dimethoxy Butane","1,3-Dimethoxy Butane",,,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/25011,[REF] matched hsp_solvents_2
"1,3-Dioxolane","1,3-Dioxolane",646-06-0,C1COCO1,C3H6O2,18.1,6.6,9.3,69.9,74.08,74.6,,ether,Dioxolanes,"1,3-dioxolanes","1,3-dioxolane","1,3-Dioxolane","1,3-Dioxolane",,H225; H319; H360; H318; H361; H303; H316; H341,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/12586,[REF] matched hsp_solvents_2
"1,3-Pentadiene (Trans)","1,3-Pentadiene (Trans)",2004-70-8,,,14.7,2.5,5.0,101.7,,,,hydrocarbon,Unsaturated hydrocarbons,Olefins,"(3E)-penta-1,3-diene","1,3-Pentadiene (Trans)","1,3-Pentadiene (Trans)",,,0.7,1,hsp_polymers_6,,"[REF] matched hsp_solvents_2 | [CAS] PubChem CID not found for: 1,3-Pentadiene (Trans)"
"1,3-Propane Sultone","1,3-Propane Sultone",1120-71-4,O=[S]1(=O)CCCO1,C3H6O3S,18.4,16.0,9.0,87.7,122.15,,,hydrocarbon,Oxathiolanes,Gamma sultones,"oxathiolane 2,2-dioxide","1,3-Propane Sultone","1,3-Propane Sultone",,H302; H312; H350; H301; H311; H315; H318; H319; H332; H341; H412; H370; H402; H316; H320; H335; H351; H330,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/14264,[REF] matched hsp_solvents_2
"1,4-Butandiol Diacrylate","1,4-Butandiol Diacrylate",1070-70-8,OCCCCO.OC(=O)C=C.OC(=O)C=C,C10H14O4,16.8,9.1,4.2,194.4,198.22,,,acid,Carboxylic acids and derivatives,Acrylic acids and derivatives,4-prop-2-enoyloxybutyl prop-2-enoate,"1,4-Butandiol Diacrylate","1,4-Butandiol Diacrylate",,H312; H314; H317; H302; H311; H318; H319; H332; H412; H315,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/70613,[REF] matched hsp_solvents_2
"1,4-Butanediol","1,4-Butanediol",110-63-4,OCCCCO,C4H10O2,16.6,15.3,21.7,88.9,90.12,229.7,,ether,Organooxygen compounds,Alcohols and polyols,"butane-1,4-diol","1,4-Butanediol","1,4-Butanediol",,H302; H336,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/8064,[REF] matched hsp_solvents_2
"1,4-Dichloro-2-Butene","1,4-Dichloro-2-Butene",764-41-0,ClCC=CCCl,C4H6Cl2,17.8,7.6,2.0,97.8,124.99,,,halogenated,Organochlorides,,"1,4-dichlorobut-2-ene","1,4-Dichloro-2-Butene","1,4-Dichloro-2-Butene",,H301; H311; H314; H330; H350; H400; H410; H226; H318; H336; H341; H370; H372; H340; H361,0.85,1,hsp_polymers_6,https://pubchem.ncbi.nlm.nih.gov/compound/15122,[REF] matched hsp_solvents_2
