no,solvent_name,autonom_acd_name,dispersion,polarity,hydrogen_bonding,molar_volume
52,Benzene,Benzene,18.4,0.0,2.0,89.4
53,"1,3-Benzenediol","Benzene-1,3-diol",18.0,8.4,21.0,87.5
894,Benzimidazole,1H-Benzoimidazole,20.6,14.9,11.0,102.7
893,Benzisoxazole,Benzo[d]isoxazole,20.6,11.5,8.8,100.7
892,"2,3-Benzofuran (Cumaron)",Benzofuran,18.7,5.1,5.7,110.2
54,Benzoic Acid,Benzoic acid,18.2,6.9,9.8,113.1
891,Benzoin,"2-Hydroxy-1,2- diphenyl-ethanone",19.9,9.7,10.7,187.7
55,Benzonitrile,Benzonitrile,17.4,9.0,3.3,102.6
56,Benzophenone,Diphenyl-methanone,19.6,8.6,5.7,164.2
962,Benzothiazole,Benzothiazole,20.6,5.2,8.4,108.5
866,Benzotrichloride,Trichloromethyl-,20.2,6.6,3.2,142.1
57,Benzoyl Chloride,Benzoyl chloride,20.7,8.2,4.5,116.0
903,Benzyl Acetate,Acetic acid benzyl ester,18.3,5.7,6.0,142.8
58,Benzyl Alcohol,Phenyl-methanol,18.4,6.3,13.7,103.6
971,Benzyl Amine,Benzylamine,19.2,4.6,11.7,109.2
1149,Benzyl Benzoate,Benzoic acid benzyl O ester,20.0,5.1,5.2,191.2
59,Benzyl Butyl Phthalate,Terephthalic acid 1-benzyl ester 4-butyl ester,19.0,11.2,3.1,306.0
60,Benzyl Chloride,Chloromethyl-benzene,18.8,7.1,2.6,115.0
61,Benzyl Methacrylate,2-Methyl-acrylic acid benzyl ester,16.8,4.1,4.1,167.8
62,N-Benzyl Pyrrolidone,1-Benzyl-pyrrolidin-2-,18.2,6.1,5.6,160.0
887,Benzylethyl Ether,Ethoxymethyl-benzene,18.4,3.8,3.8,144.2
867,Bicyclohexyl,Bicyclohexyl,18.6,0.0,0.0,188.5
868,Biphenyl,Biphenyl,19.7,1.0,2.0,155.1
1066,Biuret,Dicarbonimidic diamide,20.0,14.6,18.8,70.3
64,Borine Carbonyl,,17.0,10.2,6.9,41.8
1172,Boron Trichloride,,16.6,2.5,0.0,85.3
1170,Bromine (P From Group Cont.),Bromine,18.2,14.9,0.0,51.5
1213,Bromine (P From Dipole Moment),Bromine,18.2,2.1,0.0,51.5
65,2-Bromo Allyl Alcohol,2-Bromo-prop-2-en-1-ol,17.1,9.9,16.2,84.5
66,2-Bromo Propene,2-Bromo-propene,16.1,6.0,4.9,88.8
67,1-Bromo Propene (CIS),(Z)-1-Bromo-propene,16.3,6.4,5.0,84.7
68,4-Bromo-1-Butene,4-Bromo-but-1-ene,16.5,6.0,4.5,102.0
69,"4-Bromo-1,2-Butadiene","4-Bromo-buta-1,2-diene",17.0,6.5,4.7,93.3
854,5-Bromo-2-Nitrobenzotrifluorid,4-Bromo-1-nitro-2- O benzene,20.0,6.0,4.9,150.1
815,1-Bromo-4-Ethoxy Benzene,1-Bromo-4-ethoxy- benzene,19.5,7.7,5.3,140.0
70,Bromoacetylene,Bromo-ethyne,15.7,9.9,5.6,67.7
800,o-Bromoanisole,1-Bromo-2-methoxy- CH3 benzene,19.8,8.4,6.7,124.5
71,Bromobenzene,Bromo-benzene,20.5,5.5,4.1,105.3
806,p-Bromobenzonitrile,4-Bromo-benzonitrile,20.4,9.3,5.8,113.8
805,p-Bromobenzoyl Chloride,4-Bromo-benzoyl chloride,20.2,6.5,5.5,137.2
729,2-Bromobutane,2-Bromo-butane,16.3,7.7,4.4,109.5
802,o-Bromochlorobenzene,1-Bromo-2-chloro-,20.3,7.7,4.6,116.9
72,Bromochloromethane,Bromo-chloro-methane,17.3,5.7,3.5,65.0
73,Bromoethylene,Bromo-ethene,16.1,6.3,2.3,71.6
74,Bromoform,Tribromo-methane,21.4,4.1,6.1,87.5
748,Bromomethyl Methyl Ether,Bromo-methoxy- methane,16.9,8.5,7.0,81.6
75,1-Bromonaphtalene,1-Bromo-naphthalene,20.3,3.1,4.1,140.0
803,p-Bromonitrobenzene,1-Bromo-4-nitro-,20.9,9.9,5.9,103.7
76,Bromoprene,"2-Bromo-buta-1,3-diene",16.9,6.4,4.7,95.2
77,3-Bromopropyne,3-Bromo-propyne,18.1,6.5,5.3,75.3
710,o-Bromostyrene,1-Bromo-2-vinyl-,19.5,5.2,5.3,130.0
78,2-Bromothiophene,2-Bromo-thiophene,20.1,5.2,4.6,96.8
713,o-Bromotoluene,1-Bromo-2-methyl-,19.3,5.0,4.2,119.0
714,p-Bromotoluene,1-Bromo-4-methyl-,19.3,6.8,4.1,122.9
743,Bromotrichloro Methane (P from Dipole Moment),Bromo-trichloro-methane,18.3,0.8,0.0,99.2
744,Bromotrichloro Methane (P and H from Group cont.),Bromo-trichloro-methane,18.3,8.1,6.0,99.2
745,Bromotrichloro Methane (P from Group cont.),Bromo-trichloro-methane,18.3,8.1,0.0,99.2
79,Bromotrifluoromethane (Freon 1381),Bromo-trifluoro methane,9.6,2.4,0.0,97.0
80,"1,2-Butadiene","Buta-1,2-diene",14.7,1.7,6.2,82.3
81,"1,3-Butadiene","Buta-1,3-diene",14.8,2.8,5.6,83.2
82,"1,3-Butadiene-1-Chloro","1-Chloro-buta-1,3-diene",15.6,8.5,2.0,92.2
83,"2,3-Butadiene-1-ol","Buta-2,3-dien-1-ol",16.2,6.6,16.8,76.5
84,"1,3-Butadiene-1,2-Di-Chloro","1,2-Dichloro-buta-1,3- diene",17.0,10.7,2.8,102.5
85,Butadiene-4-Cyano,"Penta-2,4-dienenitrile",16.2,11.7,5.2,93.7
86,Butadienedioxide,"[2,2']Bioxiranyl",18.3,14.4,6.2,77.8
87,Butadione,"Butane-2,3-dione",15.7,5.1,6.8,87.8
88,"1,4-Butandiol Diacrylate",Acrylic acid 4- O acryloyloxy-butyl ester,16.8,9.1,4.2,194.4
89,Butane,Butane,14.1,0.0,0.0,101.4
90,"1,3-Butanediol","Butane-1,3-diol",16.6,10.0,21.5,89.9
730,"1,4-Butanediol","Butane-1,4-diol",16.6,15.3,21.7,88.9
91,1-Butanethiol,Butane-1-thiol,16.3,5.3,4.5,107.8
92,1-Butanol,Butan-1-ol,16.0,5.7,15.8,91.5
92,2-Butanol,Butan-2-ol,15.8,5.7,14.5,92.0
94,1-Butene,But-1-ene,13.2,1.3,3.9,94.3
95,2-Butene (cis),(Z)-But-2-ene,14.7,1.3,4.1,90.3
96,2-Butene (trans),(E)-But-2-ene,14.6,0.0,2.9,92.9
97,3-Butenenitrile,But-3-enenitrile,16.2,14.3,5.6,80.5
98,1-Butenyl Methyl Ether,4-Methoxy-but-1-ene,15.1,5.3,5.2,111.9
99,2-Butenyl Methyl Ether (cis),(Z)-1-Methoxy-but-2-,15.2,3.4,5.0,118.8
100,2-Butenyl Methyl Ether (trans),(E)-1-Methoxy-but-2-,15.3,4.4,4.3,110.4
101,Butoxy Ethoxy Pr opanol,1-Butoxy-3-ethoxy-,15.5,6.5,10.2,185.9
728,3-Butoxybutanol,3-Butoxy-butan-1-ol,15.9,5.5,10.6,166.3
102,n-Butyl Acetate,Acetic acid butyl ester,15.8,3.7,6.3,132.5
103,Sec-Butyl Acetate,Acetic acid sec-butyl ester,15.0,3.7,7.6,133.6
963,tert-Butyl Acetate,Acetic acid tert-butyl ester,15.4,6.2,6.2,134.1
768,n-Butyl Aceto Acetate,3-Oxo-butyric acid butyl ester,16.6,5.8,7.3,164.3
104,n-Butyl Acrylate,Acrylic acid butyl ester,15.6,6.2,4.9,143.8
611,t-Butyl Alcohol,2-Methyl-propan-2-ol,15.2,5.1,14.7,95.8
105,n-Butyl Amine,Butylamine,16.2,4.5,8.0,99.0
1182,N-Butyl Amine/Acetic Acid,Acetate butyl- 16.0 20.3 18.4 ammonium;,16.0,20.3,18.4,
718,Butyl Benzoate,Benzoic acid butyl ester,18.3,5.6,5.5,178.0
774,n-Butyl Butyrate,Butyric acid butyl ester,15.6,2.9,5.6,166.7
722,n-Butyl Cyclohexane,Butyl-cyclohexane,16.2,0.0,0.6,176.7
723,n-Butyl Cyclopentane,Butyl-cyclopentane,16.4,0.0,1.0,162.0
927,Butyl Formate,Formic acid butyl ester,15.7,6.5,9.2,114.8
106,Butyl Isopropenyl Ether,1-Isopropenyloxy- butane,14.8,5.3,5.0,145.7
107,Butyl Lactate,2-Hydroxy-propionic acid butyl ester,15.8,6.5,10.2,149.0
108,n-Butyl Methacrylate,2-Methyl-acrylic acid butyl ester,15.6,6.4,6.6,159.4
717,2-Butyl Octanol,2-Butyl-octan-1-ol,16.1,3.6,9.3,224.2
1006,n-Butyl Propionate,Propionic acid butyl ester,15.7,5.5,5.9,149.7
109,N-Butyl Pyrrolidone,1-Butyl-pyrrolidin-2-one,17.5,9.9,5.8,148.0
764,n-Butyl Salicylate,2-Hydroxy-benzoic acid O butyl ester,17.9,4.8,11.7,181.7
223,Butyl Stearate,Octadecanoic acid butyl O ester,14.5,3.7,3.5,382.0
724,3-n-Butyl Toluene,1-Butyl-3-methyl-,17.4,0.1,1.0,173.7
747,Butyl-6-Methyl-3-Cyclohexene,6-Methyl-cyclohex-3-,16.1,2.5,5.7,209.1
725,n-Butylbenzene,Butyl-benzene,17.4,0.1,1.1,157.0
110,"2,3-Butylene Carbonate","4,5-Dimethyl- [1,3]dioxolan-2-one",18.0,16.8,3.1,105.5
111,Butyleneoxide,2-Ethyl-oxirane,16.3,6.2,5.9,87.5
719,o-n-Butyltoluene,1-Butyl-2-methyl-,17.6,0.1,1.0,171.3
720,p-n-Butyltoluene,1-Butyl-4-methyl- CH3 benzene,17.4,0.1,1.0,174.2
112,2-Butynedinitrile,But-2-ynedinitrile,15.2,16.2,8.0,78.4
1060,Butyraldehyde,Butyraldehyde,15.6,10.1,6.2,90.5
1072,n-Butyramide,Butyramide,16.9,13.7,12.3,98.4
114,Butyric Acid,Butyric acid,14.9,4.1,10.6,110.0
767,Butyric Anhydride,Butanoic anhydride,16.0,6.3,7.7,164.4
115,Gamma-Butyrolactone,Dihydro-furan-2-one,19.0,16.6,7.4,76.8
116,Butyronitrile,Butyronitrile,15.3,12.4,5.1,87.3
117,Butyrylchloride,Butyryl chloride,16.8,9.4,4.8,103.6
1200,Caffeine,"1,3,7-Trimethyl-3,7- dihydro-purine-2,6-",19.5,10.1,13.0,157.9
118,Caprolactone (Epsilon),Oxepan-2-one,19.7,15.0,7.4,110.8
869,Carbazole (Diphenylenimine),9H-Carbazole,21.7,6.4,6.2,152.0
119,Carbon Dioxide,Methanedione,15.7,6.3,5.7,38.0
120,Carbon Disulfid,Methanedithione,20.5,0.0,0.6,60.0
121,Carbon Disulfid,Methanedithione,19.9,5.8,0.6,60.0
122,Carbon tetrachloride,Tetrachloro-methane,17.8,0.0,0.6,97.1
862,Carbon Tetrachloride,Tetrachloro-methane,16.1,8.3,0.0,97.1
124,Carbonyl Cyanide,2-Oxo-malononitrile,15.0,6.3,8.0,71.2
123,Carbonyl Sulfid,Thioxo-methanone,17.4,3.7,0.0,51.0
1224,Castor Oil,,15.9,4.6,12.0,436.0
976,Cetyl Alcohol (1-Hexadecanol),Hexadecan-1-ol,15.1,3.7,8.1,298.7
125,Chloral,Trichloro-acetaldehyde,17.2,7.4,7.6,97.5
126,Chlorine,Chlorine,17.3,10.0,0.0,46.0
128,Chloro Acetaldehyde,Chloro-acetaldehyde,16.2,16.1,9.0,60.4
129,Chloro Acetic Acid,Chloro-acetic acid,17.7,10.4,12.3,68.6
797,p-Chloro Acetophenone,1-(4-Chloro-phenyl)- O ethanone,19.6,7.6,4.0,129.7
130,3-Chloro Allyl Alcohol,3-Chloro-prop-2-en-1-ol,17.2,10.3,16.5,78.6
131,2-Chloro Allyl Alcohol,2-Chloro-prop-2-en-1-ol,17.1,10.2,16.4,79.6
983,Chloro Maleic Anhydride,"3-Chloro-furan-2,5- dione",20.4,17.3,11.5,89.5
132,1-Chloro Methyl Acrylate,Acrylic acid chloromethyl ester,15.9,7.3,8.5,101.4
955,1-Chloro Pentane,1-Chloro-pentane,16.0,6.9,1.9,120.8
133,2-Chloro Propene (Isopropenyl Chloride),2-Chloro-propene,15.5,6.7,2.2,84.9
135,1-Chloro Vinyl Ethyl Ether,1-Chloro-1-ethoxy- ethene,16.8,6.5,5.7,104.5
127,1-Chloro-1-Fluoro Ethylene,1-Chloro-1-fluoro ethene,16.0,6.9,4.0,67.6
136,1-Chloro-1-Nitroethane,1-Chloro-1-nitro-ethane propane,16.8,13.5,4.7,85.1
137,3-Chloro-1-Propanol,3-Chloro-propan-1-ol,17.5,5.7,14.7,84.2
138,"4-Chloro-1,2-Butadiene","4-Chloro-buta-1,2-diene",16.6,8.0,6.7,89.5
139,1-Chloro-2-Butene,1-Chloro-but-2-ene,16.2,7.7,2.0,97.4
817,1-Chloro-2-Ethoxy Benzene,1-Chloro-2-ethoxy-,19.2,8.1,4.4,138.7
970,2-Chloro-2-Methyl Propane,2-Chloro-2-methyl- propane,15.6,7.6,2.0,110.0
140,3-Chloro-2-Methyl Propene,3-Chloro-2-methyl- propene,16.2,5.6,2.0,98.8
141,1-Chloro-2-Methyl Propene,1-Chloro-2-methyl- propene,16.1,7.1,4.2,95.6
813,6-Chloro-2-Nitrotoluene,1-Chloro-2-methyl-3-,20.3,9.6,3.8,132.0
819,4-Chloro-2-Nitrotoluene,4-Chloro-1-methyl-2-,19.9,11.8,3.8,132.0
816,1-Chloro-4-Ethoxy Benzene,1-Chloro-4-ethoxy-,19.3,6.3,4.4,139.2
950,2-Chloro-4-Methylaniline,2-Chloro-4-methyl-,19.7,7.4,8.9,123.0
977,2-Chloro-5-Methyl Phenol,2-Chloro-5-methyl- OH phenol,19.0,7.7,13.1,117.4
142,Chloroacetone,1-Chloro-propan-2-one,16.8,9.6,5.5,80.5
143,Chloroacetonitrile,Chloro-acetonitrile,17.4,13.6,2.0,63.3
144,Chloroacetylchloride,Chloro-acetyl chloride,17.5,9.2,5.5,79.5
145,Chloroacetylene,Chloro-ethyne,16.2,2.1,2.5,63.7
766,2-Chloroallylidene Diacetate,Acetic acid 1-acetoxy-2-,16.7,7.3,8.8,160.2
1012,m-Chloroaniline,3-Chloro-phenylamine,20.6,9.9,9.8,105.0
146,4-Chloroanisole,1-Chloro-4-methoxy- benzene,19.6,7.8,6.7,122.5
147,4-Chlorobenzaldehyde,4-Chloro-benzaldehyde,19.9,7.2,5.6,113.4
148,Chlorobenzene,Chloro-benzene,19.0,4.3,2.0,102.1
811,4-Chlorobenzonitrile,4-Chloro-benzonitrile,19.5,8.0,4.1,125.1
853,4-Chlorobenzotrichloride,1-Chloro-4- benzene,20.3,5.5,3.5,153.8
812,p-Chlorobenzoyl Chloride,4-Chloro-benzoyl O chloride,19.9,6.7,5.1,127.1
149,4-Chlorobenzyl Alcohol,(4-Chloro-phenyl)- methanol,19.6,7.5,13.0,117.7
150,3-Chlorobenzylchloride,1-Chloro-3- chloromethyl-benzene,19.9,9.3,2.6,117.7
151,"1,2-Chlorobromoethylene",1-Bromo-2-chloro- ethene,17.2,6.6,2.3,78.7
152,1-Chlorobutane,1-Chloro-butane,16.2,5.5,2.0,104.5
750,2-Chlorobutane,2-Chloro-butane,15.8,7.6,2.0,106.8
780,2-Chlorocyclohexanone,2-Chloro-cyclohexanone,18.5,13.0,5.1,113.9
153,Chlorocyclopropane,Chloro-cyclopropane,17.6,7.2,2.2,84.9
154,Chlorodifluoromethane (Freon 22),Chloro-difluoro-methane,12.3,6.3,5.7,72.9
155,N-Chlorodimethylamine,[Chloro(methyl)amino] methane,16.0,7.8,7.9,87.4
772,2-Chloroethyl Acetate,Acetic acid 2-chloro- ethyl ester benzene,16.7,9.6,8.8,107.5
756,2-Chloroethyl Ethyl Ether,1-Chloro-2-ethoxy- ethane,16.3,7.9,4.6,109.5
834,2-Chloroethyl Ethyl Sulfid,1-Chloro-2- ethylsulfanyl-ethane,17.2,5.0,6.1,116.9
808,o-Chlorofluorobenzen,1-Chloro-2-fluoro,19.4,8.7,2.0,104.9
156,Chloroform,Trichloro-methane,17.8,3.1,5.7,80.7
959,1-Chlorohexane,1-Chloro-hexane,16.1,6.2,1.7,138.1
157,Bis(Chloromethyl) Ether,Chloro-chloromethoxy- methane,17.2,4.9,6.6,86.6
158,Chloromethylsulfid,Chloro- chloromethylsulfanyl- methane,16.6,6.4,2.0,95.0
870,1-Chloronaphthalene,1-Chloro-naphthalene,19.9,4.9,2.5,136.2
809,p-Chloronitrobenzene,1-Chloro-4-nitro- benzene,20.4,9.6,4.2,103.7
159,Chloronitromethane,Chloro-nitro-methane,17.4,13.5,5.5,65.1
160,2-Chlorophenol,2-Chloro-phenol,20.3,5.5,13.9,102.3
1081,Chloropicrin (Trichloronitromethane),Trichloro-nitro-methane,17.6,6.8,7.0,101.7
161,Chlorprene,"2-Chloro-buta-1,3-diene",16.1,5.4,2.1,93.2
162,2-Chloropropenal,2-Chloro-propenal,17.1,12.9,8.1,75.5
163,1-Chloropropene,1-Chloro-propene,15.3,6.9,2.2,82.3
164,2-Chloropropenoic Acid,2-Chloro-acrylic acid,19.1,9.4,12.4,86.6
165,3-Chloropropionaldehyde,3-Chloro- propionaldehyde,17.0,13.3,8.2,73.0
166,3-Chloropropionitrile,3-Chloro-propionitrile,17.3,15.9,6.1,77.4
167,3-Chloropropyne,3-Chloro-propyne,16.7,7.4,2.3,72.4
711,p-Chlorostyrene,1-Chloro-4-vinyl-,18.7,4.3,3.9,128.3
712,o-Chlorostyrene,1-Chloro-2-vinyl- CH2 benzene,18.7,4.7,3.9,126.8
989,2-Chlorothiophene,2-Chloro-thiophene,19.2,6.2,8.0,92.2
168,4-Chlorothiophenol,4-Chloro-benzenethiol,20.8,8.6,10.6,100.0
787,o-Chlorothiophenol,2-Chloro-benzenethiol,20.2,7.0,10.0,113.4
814,p-Chlorotoluene,1-Chloro-4-methyl-,19.1,6.2,2.6,118.3
134,Chlorotrifluoroet ylene (CTFE),"1-Chloro-1,2,2-trifluoro ethene",15.3,6.3,0.0,75.6
1111,trans-Cinnamaldehyde,(E)-3-Phenyl-propenal,19.4,12.4,6.2,125.9
1110,cis-Cinnamic Acid,(Z)-3-Phenyl-acrylic,19.1,3.9,10.6,115.4
1107,Cinnamyl Alcohol,(E)-3-Phenyl-prop-2-en- OH 1-ol,19.1,6.0,13.0,129.1
1135,Cineol (Eucalyptol),"1,3,3-Trimethyl-2-oxa-",16.7,4.6,3.4,167.5
982,Citraconic Anhydride,"3-Methyl-furan-2,5- dione",19.2,17.0,11.2,89.9
1102,Coniferyl Alcohol,4-((E)-3-Hydroxy- OH propenyl)-2-methoxy- phenol,19.0,7.0,16.3,171.6
974,Coumarin,Chromen-2-one,20.0,12.5,6.7,156.3
1103,p-Coumaryl Alcohol,4-((E)-3-Hydroxy- OH propenyl)-phenol,19.1,7.0,17.3,136.5
169,m-Cresol,3-Methyl-phenol,18.0,5.1,12.9,104.7
170,Crotonaldehyde,(E)-But-2-enal,16.2,14.9,7.4,82.5
171,Crotonic Acid,(E)-But-2-enoic acid,16.8,8.7,12.0,84.6
172,Crotonlactone,5H-Furan-2-one,19.0,19.8,9.6,76.4
173,Trans-Crotononitrile,(E)-But-2-enenitrile,16.4,18.8,5.5,81.4
174,Cyanamid (Carbamonitrile),Cyanamide,15.5,27.6,16.8,32.8
175,Cyanogen,Oxalonitrile,15.1,11.8,0.0,54.6
176,Cyanogen Bromide,Cyanic bromide,18.3,15.2,0.0,52.6
177,Cyanogen Chloride,Cyanic chloride,15.6,14.5,0.0,51.8
178,Cyclobutanone,Cyclobutanone,18.3,11.4,5.2,73.4
179,Cyclodecanone,Cyclodecanone,16.8,8.0,4.1,161.0
180,Cycloheptanone,Cycloheptanone,17.2,10.6,4.8,118.2
181,Cyclohexane,Cyclohexane,16.8,0.0,0.2,108.7
1214,"Cyclohexane-1,2-Dicarboxylic Acid","Cyclohexane-1,2-",16.4,2.2,5.0,422.4
182,Cyclohexanol,Cyclohexanol,17.4,4.1,13.5,106.0
183,Cyclohexanone,Cyclohexanone,17.8,6.3,5.1,104.0
871,Cyclohexene,Cyclohexene,17.2,1.0,5.0,101.9
1199,Cycloheximide,"4-[(R)-2-((1S,3S,5S)- hydroxy-ethyl]- piperidine-2,6-dione",18.3,11.0,13.8,171.0
872,Cyclohexyl Benzene,Cyclohexyl-benzene,18.7,0.0,1.0,169.9
969,N-Cyclohexyl-2-Pyrrolidone,1-Cyclohexyl- pyrrolidin-2-one,18.2,6.8,6.5,163.0
184,Cyclohexylamine,Cyclohexylamine,17.2,3.1,6.5,113.8
185,Cyclohexylchloride,Chloro-cyclohexane,17.3,5.5,2.0,118.6
186,Cyclooctanone,Cyclooctanone,17.0,9.6,4.5,131.7
920,Cyclopentadiene,"Cyclopenta-1,3-diene",17.2,1.9,6.1,82.1
187,Cyclopentane,Cyclopentane,16.4,0.0,1.8,94.9
188,Cyclopentanone,Cyclopentanone,17.9,11.9,5.2,89.1
189,Cyclopentene,Cyclopentene,16.7,3.8,1.7,89.0
735,2-Cyclopentenyl Alcohol,Cyclopent-2-enol,18.1,7.6,15.6,86.2
190,Cyclopropene,Cyclopropene,17.2,2.4,2.0,50.0
191,Cyclopropane,Cyclopropane,17.6,0.0,0.0,58.3
192,Cyclopropylmethylketone,1-Cyclopropyl-ethanone,17.0,11.1,4.6,93.6
193,Cyclopropylnitrile,Cyclopropane-,18.6,16.2,5.7,75.4
1223,d-Camphor,"(1R,4R)-1,7,7-",17.8,9.4,4.7,153.7
873,DDT,"1-Chloro-4-[2,2,2- ethyl]benzene",20.0,5.5,3.1,268.8
194,Cis-Decahydronaphthalene,Decahydro-naphthalene,18.8,0.0,0.0,156.9
195,Trans-Decahydronaphthalene,Decahydro-naphthalene,18.0,0.0,0.0,156.9
196,Decane,Decane,15.7,0.0,0.0,195.9
197,1-Decanol,Decan-1-ol,16.0,4.7,10.0,191.8
734,2-Decanol,Decan-2-ol,15.8,3.9,10.0,192.8
726,1-Decene,Dec-1-ene,15.8,1.0,2.2,190.6
759,Di-(2-Chloroethoxy) Methane,1-Chloro-2-(2-chloro- ethoxymethoxy)-ethane,17.1,10.2,7.1,141.1
