No,Name,D,P,H,V
76,"Bromoprene 2-Bromo-buta-1,3-diene",16.9,6.4,4.7,95.2
1124,1-Bromopropane 1-Bromo-propane,16.4,7.9,4.8,90.9
1125,2-Bromopropane 2-Bromo-propane,16.1,8.3,4.7,93.6
77,3-Bromopropyne 3-Bromo-propyne,18.1,6.5,5.3,75.3
78,2-Bromothiophene 2-Bromo-thiophene,20.1,5.2,4.6,96.8
80,"1,2-Butadiene Buta-1,2-diene",14.7,1.7,6.2,82.3
81,"1,3-Butadiene Buta-1,3-diene",14.8,2.8,5.6,83.2
82,"1,3-Butadiene-1-Chloro 1-Chloro-buta-1,3-diene",15.6,8.5,2.0,92.2
83,"2,3-Butadiene-1-ol Buta-2,3-dien-1-ol",16.2,6.6,16.8,76.5
85,"Butadiene-4-Cyano Penta-2,4-dienenitrile",16.2,11.7,5.2,93.7
86,"Butadienedioxide [2,2']Bioxiranyl",18.3,14.4,6.2,77.8
87,"Butadione Butane-2,3-dione",15.7,5.1,6.8,87.8
730,"1,4-Butanediol Butane-1,4-diol",16.6,15.3,21.7,88.9
91,1-Butanethiol Butane-1-thiol,16.3,5.3,4.5,107.8
94,1-Butene But-1-ene,13.2,1.3,3.9,94.3
95,2-Butene (cis) (Z)-But-2-ene,14.7,1.3,4.1,90.3
97,3-Butenenitrile But-3-enenitrile,16.2,14.3,5.6,80.5
98,1-Butenyl Methyl Ether 4-Methoxy-but-1-ene,15.1,5.3,5.2,111.9
728,3-Butoxybutanol 3-Butoxy-butan-1-ol,15.9,5.5,10.6,166.3
105,n-Butyl Amine Butylamine,16.2,4.5,8.0,99.0
718,Butyl Benzoate* Benzoic acid butyl ester,18.3,5.6,5.5,178.0
774,n-Butyl Butyrate Butyric acid butyl ester,15.6,2.9,5.6,166.7
927,Butyl Formate Formic acid butyl ester,15.7,6.5,9.2,114.8
717,2-Butyl Octanol 2-Butyl-octan-1-ol,16.1,3.6,9.3,224.2
109,N-Butyl Pyrrolidone 1-Butyl-pyrrolidin-2-one,17.5,9.9,5.8,148.0
725,n-Butylbenzene Butyl-benzene,17.4,0.1,1.1,157.0
111,Butyleneoxide 2-Ethyl-oxirane,16.3,6.2,5.9,87.5
112,2-Butynedinitrile But-2-ynedinitrile,15.2,16.2,8.0,78.4
1060,Butyraldehyde* Butyraldehyde,15.6,10.1,6.2,90.5
1072,n-Butyramide Butyramide,16.9,13.7,12.3,98.4
767,Butyric Anhydride Butanoic anhydride,16.0,6.3,7.7,164.4
117,Butyrylchloride Butyryl chloride,16.8,9.4,4.8,103.6
118,Caprolactone (Epsilon) Oxepan-2-one,19.7,15.0,7.4,110.8
869,Carbazole (Diphenylenimine) 9H-Carbazole,21.7,6.4,6.2,152.0
124,Carbonyl Cyanide 2-Oxo-malononitrile,15.0,6.3,8.0,71.2
1224,Castor Oil,15.9,4.6,12.0,436.0
976,Cetyl Alcohol (1-Hexadecanol) Hexadecan-1-ol,15.1,3.7,8.1,298.7
125,Chloral Trichloro-acetaldehyde,17.2,7.4,7.6,97.5
128,Chloro Acetaldehyde Chloro-acetaldehyde,16.2,16.1,9.0,60.4
129,Chloro Acetic Acid Chloro-acetic acid,17.7,10.4,12.3,68.6
130,3-Chloro Allyl Alcohol 3-Chloro-prop-2-en-1-ol,17.2,10.3,16.5,78.6
131,2-Chloro Allyl Alcohol 2-Chloro-prop-2-en-1-ol,17.1,10.2,16.4,79.6
955,1-Chloro Pentane 1-Chloro-pentane,16.0,6.9,1.9,120.8
136,1-Chloro-1-Nitroethane 1-Chloro-1-nitro-ethane,16.8,13.5,4.7,85.1
138,"4-Chloro-1,2-Butadiene 4-Chloro-buta-1,2-diene",16.6,8.0,6.7,89.5
139,1-Chloro-2-Butene 1-Chloro-but-2-ene,16.2,7.7,2.0,97.4
1067,2-Chloroacetamide 2-Chloro-acetamide,17.6,12.4,12.8,93.5
142,Chloroacetone 1-Chloro-propan-2-one,16.8,9.6,5.5,80.5
143,Chloroacetonitrile Chloro-acetonitrile,17.4,13.6,2.0,63.3
144,Chloroacetylchloride Chloro-acetyl chloride,17.5,9.2,5.5,79.5
145,Chloroacetylene Chloro-ethyne,16.2,2.1,2.5,63.7
1012,m-Chloroaniline 3-Chloro-phenylamine,20.6,9.9,9.8,105.0
147,4-Chlorobenzaldehyde 4-Chloro-benzaldehyde,19.9,7.2,5.6,113.4
811,4-Chlorobenzonitrile 4-Chloro-benzonitrile,19.5,8.0,4.1,125.1
750,2-Chlorobutane 2-Chloro-butane,15.8,7.6,2.0,106.8
780,2-Chlorocyclohexanone 2-Chloro-cyclohexanone,18.5,13.0,5.1,113.9
153,Chlorocyclopropane Chloro-cyclopropane,17.6,7.2,2.2,84.9
154,Chlorodifluoromethane (Freon 22 Chloro-difluoro-methan,12.3,6.3,5.7,72.9
959,1-Chlorohexane 1-Chloro-hexane,16.1,6.2,1.7,138.1
870,1-Chloronaphthalene 1-Chloro-naphthalene,19.9,4.9,2.5,136.2
159,Chloronitromethane Chloro-nitro-methane,17.4,13.5,5.5,65.1
160,2-Chlorophenol 2-Chloro-phenol,20.3,5.5,13.9,102.3
1081,Chloropicrin (Trichloronitromethane) Trichloro-nitro-methane,17.6,6.8,7.0,101.7
161,"Chlorprene 2-Chloro-buta-1,3-diene",16.1,5.4,2.1,93.2
162,2-Chloropropenal 2-Chloro-propenal,17.1,12.9,8.1,75.5
163,1-Chloropropene 1-Chloro-propene,15.3,6.9,2.2,82.3
164,2-Chloropropenoic Acid 2-Chloro-acrylic acid,19.1,9.4,12.4,86.6
166,3-Chloropropionitrile 3-Chloro-propionitrile,17.3,15.9,6.1,77.4
167,3-Chloropropyne 3-Chloro-propyne,16.7,7.4,2.3,72.4
989,2-Chlorothiophene 2-Chloro-thiophene,19.2,6.2,8.0,92.2
168,4-Chlorothiophenol 4-Chloro-benzenethiol,20.8,8.6,10.6,100.0
787,o-Chlorothiophenol 2-Chloro-benzenethiol,20.2,7.0,10.0,113.4
1111,trans-Cinnamaldehyde (E)-3-Phenyl-propenal,19.4,12.4,6.2,125.9
974,Coumarin Chromen-2-one,20.0,12.5,6.7,156.3
170,Crotonaldehyde (E)-But-2-enal,16.2,14.9,7.4,82.5
171,Crotonic Acid (E)-But-2-enoic acid,16.8,8.7,12.0,84.6
172,Crotonlactone 5H-Furan-2-one,19.0,19.8,9.6,76.4
173,Trans-Crotononitrile (E)-But-2-enenitrile,16.4,18.8,5.5,81.4
174,Cyanamid (Carbamonitrile) Cyanamide,15.5,27.6,16.8,32.8
178,Cyclobutanone Cyclobutanone,18.3,11.4,5.2,73.4
179,Cyclodecanone Cyclodecanone,16.8,8.0,4.1,161.0
180,Cycloheptanone Cycloheptanone,17.2,10.6,4.8,118.2
1093,"1,2-Cyclohexanediol Cyclohexane-1,2-diol",17.4,9.8,18.3,112.8
1094,"1,2-Cyclohexanedione Cyclohexane-1,2-dione",18.6,10.3,8.0,103.8
871,Cyclohexene Cyclohexene,17.2,1.0,5.0,101.9
186,Cyclooctanone Cyclooctanone,17.0,9.6,4.5,131.7
920,"Cyclopentadiene Cyclopenta-1,3-diene",17.2,1.9,6.1,82.1
188,Cyclopentanone Cyclopentanone,17.9,11.9,5.2,89.1
189,Cyclopentene Cyclopentene,16.7,3.8,1.7,89.0
735,2-Cyclopentenyl Alcohol Cyclopent-2-enol,18.1,7.6,15.6,86.2
190,Cyclopropene Cyclopropene,17.2,2.4,2.0,50.0
192,Cyclopropylmethylketone 1-Cyclopropyl-ethanone,17.0,11.1,4.6,93.6
197,1-Decanol* Decan-1-ol,16.0,4.7,10.0,191.8
734,2-Decanol Decan-2-ol,15.8,3.9,10.0,192.8
726,1-Decene Dec-1-ene,15.8,1.0,2.2,190.6
219,Di-n-Butyl Ether 1-Butoxy-butane,15.2,3.4,4.2,170.3
957,Di-n-Pentyl Ether 1-Pentyloxy-pentane,15.6,3.1,3.0,203.2
956,Di-n-Propyl Ether 1-Propoxy-propane,15.1,4.2,3.7,137.7
210,Diallyl Amine Diallyl-amine,15.6,4.5,6.7,124.1
211,Diallyl Ether 3-Allyloxy-propene,15.3,4.4,5.3,118.8
212,Diazomethane Diazomethane,14.7,6.1,11.3,78.1
214,"1,1-Dibromo Ethylene 1,1-Dibromo-ethene",15.1,4.8,7.0,85.3
215,Dibromo Methane Dibromo-methane,17.8,6.4,7.0,69.8
804,"o-Dibromobenzene 1,2-Dibromo-benzene",20.7,6.5,5.3,120.0
216,"1,1-Dibromoethane 1,1-Dibromo-ethane",18.5,8.4,8.8,91.4
217,"1,2-Dibromoethylene 1,2-Dibromo-ethene",18.0,4.9,3.0,82.7
1015,Dibutyl Amine Dibutyl-amine,15.0,3.0,4.3,170.0
220,"N,N-Dibutyl Formamide N,N-Dibutyl-formamide",15.5,8.9,6.2,182.0
1068,Dibutyl Ketone Nonan-5-one,16.0,7.7,4.4,173.4
874,"1,3-Dichloropropane 1,3-Dichloro-propane",18.6,8.2,3.0,95.1
206,"1,3-Dichloro-2-butene 1,3-Dichloro-but-2-ene",16.9,7.8,2.7,107.7
207,"1,4-Dichloro-2-Butene 1,4-Dichloro-but-2-ene",17.8,7.6,2.0,97.8
230,Dichloroacetaldehyde Dichloro-acetaldehyde,16.7,9.1,7.5,94.0
945,Dichloroacetic Acid Dichloro-acetic acid,18.2,8.1,12.2,82.5
232,Dichloroacetonitrile Dichloro-acetonitrile,17.4,9.4,6.4,80.3
715,"p-Dichlorobenzene 1,4-Dichloro-benzene",19.7,5.6,2.7,118.6
716,"m-Dichlorobenzene 1,3-Dichloro-benzene",19.7,5.1,2.7,114.8
1019,"1,4-Dichlorobutane 1,4-Dichloro-butane",18.3,7.7,2.8,109.5
237,"1,1-Dichloroethane 1,1-Dichloro-ethane",16.5,7.8,3.0,84.2
225,"N,N-Dichloromethyl Amine Bis-chloromethyl-amine",16.8,7.6,8.0,90.8
239,"1,1-Dichloroethylene 1,1-Dichloro-ethene",16.4,5.2,2.4,79.9
224,"1,2-Dichloroethylene (cis) (Z)-1,2-Dichloro-ethene",17.0,8.0,3.2,75.5
242,Dichloromonofluoromethane (Freon 21 Dichloro-fluoro-methan,15.8,3.1,5.7,75.4
833,"1,5-Dichloropentane 1,5-Dichloro-pentane",19.0,7.8,1.5,127.5
244,"2,5-Dichlorophenol 2,5-Dichloro-phenol",20.0,6.3,12.1,119.0
852,"2,6-Dichlorophenol 2,6-Dichloro-phenol",20.1,7.5,10.9,119.0
1159,"2,4-Dichlorophenol 2,4-Dichloro-phenol",20.0,7.2,13.1,119.0
245,"1,1-Dichloropropane 1,1-Dichloro-propane",16.1,7.8,3.5,98.3
226,"2,3-Dichloropropene 2,3-Dichloro-propene",16.2,7.8,3.0,91.6
246,"1,1-Dichloropropene 1,1-Dichloro-propene",16.9,6.7,2.9,93.5
777,"1,1-Diethoxy Butane 1,1-Diethoxy-butane",15.4,4.9,4.6,177.6
250,"1,1-Diethoxy Ethane 1,1-Diethoxy-ethane",15.0,3.4,4.0,143.9
791,"1,1-Diethoxy Ethane (Acetal) 1,1-Diethoxy-ethane",15.2,5.4,5.3,142.2
251,"N,N-Diethyl Acetamide N,N-Diethyl-acetamide",16.4,11.3,7.5,124.5
721,"1,2-Diethyl Benzene 1,2-Diethyl-benzene",17.7,0.1,1.0,153.5
256,"N,N-Diethyl Formamide N,N-Diethyl-formamide",16.4,11.4,9.2,111.4
257,Diethyl Ketone Pentan-3-one,15.8,7.6,4.7,106.4
1143,Diethyl Oxalate Oxalic acid diethyl ester,16.2,8.0,8.8,136.6
261,2-(Diethylamino) Ethanol 2-Diethylamino-ethanol,14.9,5.8,12.0,133.2
262,Diethyldisulfid Ethyldisulfanyl-ethane,16.7,6.7,5.7,123.1
810,"o-Difluorobenzen 1,2-Difluoro-benzen",18.0,9.0,1.0,98.5
273,"1,1-Difluoroethan 1,1-Difluoro-ethan",14.9,10.2,3.0,69.5
274,"1,1-Difluoroet ylene 1,1-Difluoro-ethen",15.0,6.8,3.6,58.2
1069,Dihexyl Ether 1-Hexyloxy-hexane,16.0,3.0,2.8,235.8
276,Dihydrogen Disulfid,17.3,6.3,10.7,49.6
277,"Dihydropyran 3,4-Dihydro-2H-pyran",17.5,5.5,5.7,91.2
904,"1,2-Dihydroxybenzene (Catechol) Benzene-1,2-diol",20.0,11.3,21.8,81.9
1084,Diisopropylamine Diisopropyl-amine,14.8,1.7,3.5,141.1
763,"1,3-Dimethoxy Butane 1,3-Dimethoxy-butane",15.6,5.5,5.2,140.0
284,"1,1-Dimethoxy Ethane 1,1-Dimethoxy-ethane",15.1,4.9,4.9,106.7
1108,"2,6-Dimethoxy Phenol 2,6-Dimethoxy-phenol",19.3,7.6,13.7,136.4
889,"1,2-Dimethoxybenzene 1,2-Dimethoxy-benzene",19.2,4.4,9.4,127.7
286,Dimethyl Acetylene But-2-yne,15.1,3.4,7.6,78.9
287,Dimethyl Amine Dimethyl-amine,15.3,4.8,11.2,66.2
291,"Dimethyl Cellosolve 1,2-Dimethoxy-ethane",15.4,6.0,6.0,104.5
293,"Dimethyl Diketone Butane-2,3-dione",15.7,5.3,11.7,88.2
296,Dimethyl Ether Methoxymethane,15.2,6.1,5.7,63.2
299,Dimethyl Ketene 2-Methyl-propen-1-one,15.2,7.4,4.8,87.6
849,"2,6-Dimethyl Phenol 2,6-Dimethyl-phenol",19.1,4.9,12.9,116.3
850,"3,4-Dimethyl Phenol 3,4-Dimethyl-phenol",19.2,6.0,13.4,121.0
301,Dimethyl Sulfid Methylsulfanyl-methane,16.1,6.4,7.4,73.2
304,"2,3-Dimethyl-1-Butene 2,3-Dimethyl-but-1-ene",14.9,1.2,2.8,125.2
942,"3,5-Dinitrophenol 3,5-Dinitro-phenol",19.5,12.9,14.4,108.2
940,"1,2-Dinitrobenzene 1,2-Dinitro-benzene",20.6,22.7,5.4,107.4
941,"3,4-Dinitrophenol 3,4-Dinitro-phenol",19.5,12.8,14.3,110.1
307,"1,3-Dioxolane [1,3]Dioxane",18.1,6.6,9.3,69.9
1167,Diphenyl Acetylene P from Group Cont. (Phenylethynyl)benzene,20.1,2.0,3.2,184.3
778,Diphenyl Ether* Diphenyl ether,19.5,3.4,5.8,160.4
779,Diphenyl Sulfone (Phenylsulfonyl)benzene,21.1,14.4,3.4,174.3
875,Diphenylamine Diphenyl-amine,20.0,3.3,5.9,145.9
876,Diphenylmethane Benzylbenzene,19.5,1.0,1.0,168.2
737,Dipropyl Ketone* Heptan-4-one,15.8,5.7,4.9,140.8
314,"p-Divinyl Benzene 1,4-Divinyl-benzene",18.6,1.0,7.0,142.8
315,Divinyl Sulfid Vinylsulfanyl-ethene,16.5,4.6,5.6,93.6
1075,Dodecanol Dodecan-1-ol,16.0,4.0,9.3,224.5
987,"1,2-Epoxy Butane 2-Ethyl-oxirane",15.6,8.0,4.6,87.9
320,"3,4-Epoxy-1-Butene 2-Vinyl-oxirane",16.6,7.7,7.4,80.7
319,"1,2-Epoxy-2-Propene 2-Methylene-oxirane",16.5,8.6,6.7,70.0
321,Epsilon-Caprolactam Azepan-2-one,19.4,13.8,3.9,110.7
322,"1,2-Ethane Dithiol Ethane-1,2-dithiol",17.9,7.2,8.7,83.9
323,Ethanesulfonylchloride Ethanesulfonyl chloride,17.7,14.9,6.8,94.7
324,Ethanethiol (Ethyl Mercaptan) Ethanethiol,15.7,6.5,7.1,74.3
329,Ethyl Acetylene But-1-yne,15.1,3.4,5.0,81.5
331,Ethyl Amine Ethylamine,15.0,5.6,10.7,65.6
332,Ethyl Amyl Ketone Octan-3-one,16.2,4.5,4.1,156.0
954,Ethyl Benzoate Benzoic acid ethyl ester,17.9,6.2,6.0,144.3
334,Ethyl Bromide Bromo-ethane,16.5,8.4,2.3,74.6
335,Ethyl Butyl Ketone Heptan-3-one,16.2,5.0,4.1,139.0
928,Ethyl Butyrate Butyric acid ethyl ester,15.5,5.6,5.0,132.9
929,Ethyl Caproate Hexanoic acid ethyl ester,15.5,3.2,5.9,149.6
336,Ethyl Carbamate Carbamic acid eth yl ester,16.8,10.1,13.0,91.2
337,Ethyl Carbylamine Isocyano-ethane,15.6,15.2,5.8,74.4
338,Ethyl Chloride Chloro-ethane,15.7,6.1,2.9,70.0
339,Ethyl Chloroformate Ethyl chloridocarbonate,15.5,10.0,6.7,95.6
341,2-Ethyl Croton Aldehyde 2-Ethyl-but-2-enal,16.1,8.0,5.5,115.2
343,Ethyl Ethynylether Ethoxy-ethyne,15.4,7.9,5.9,87.6
966,N-Ethyl Formamide N-Ethyl-formamide,17.2,10.0,14.0,76.5
344,Ethyl Formate Formic acid ethyl ester,15.5,8.4,8.4,80.2
348,Ethyl Hypochlorite Ethyl hypochlorite,15.7,8.6,6.5,79.5
349,Ethyl Iodide Iodo-ethane,17.3,7.9,7.2,81.2
350,Ethyl Isocyanate Isocyanato-ethane,15.4,12.0,2.5,78.7
351,Ethyl Isopropenyl Ether 2-Ethoxy-propene,14.8,3.5,5.1,113.3
352,Ethyl Isothiocyanate Isothiocyanato-ethane,17.2,14.7,9.0,87.1
355,Ethyl Methyl Sulfid Methylsulfanyl-ethane,17.1,4.8,2.5,91.2
1085,4-Ethyl Morpholine 4-Ethyl-morpholine,17.7,5.0,6.6,116.5
1071,4-Ethyl Phenol 4-Ethyl-phenol,19.2,5.3,12.8,118.6
1010,Ethyl Propionate Propionic acid ethyl ester,15.5,6.1,4.9,115.5
356,Ethyl Thiocyanate Thiocyanato-ethane,15.4,13.4,5.4,87.1
357,1-Ethyl Vinyl Ethyl Ether 2-Ethoxy-but-1-ene,15.3,4.2,4.6,125.6
358,Ethyl Vinylether Ethoxy-ethene,14.9,4.9,5.6,94.9
359,Ethyl Vinylketone Pent-1-en-3-one,15.8,11.3,4.5,99.3
727,2-Ethyl-1-Butene 3-Methylene-pentane,14.9,1.7,3.5,123.1
361,Ethyl-1-Propynylether 1-Ethoxy-propyne,15.9,6.4,5.4,101.6
362,"2-Ethyl-1,3-Butadiene 3-Methylene-pent-1-ene",15.3,1.6,3.8,115.2
961,N-Ethyl-2-Pyrrolidone 1-Ethyl-pyrrolidin-2-one,18.0,12.0,7.0,113.9
1058,Ethylene Ethene,15.0,2.0,3.8,63.0
364,Ethylene Chlorohydrin 2-Chloro-ethanol,16.9,8.8,17.2,67.3
366,"Ethylene Dibromide 1,2-Dibromo-ethane",19.2,3.5,8.6,87.0
937,"Ethylene Dinitrate 1,2-Bis-nitrooxy-ethane",16.2,13.0,4.5,101.7
760,"Ethylene Glycol Diethyl Ether 1,2-Diethoxy-ethane",15.4,5.4,5.2,141.6
775,"Ethylene Glycol Dimethyl Ether 1,2-Dimethoxy-ethane",15.4,6.3,6.0,103.9
731,Ethylene Glycol Monobenzyl Ether 2-Benzyloxy-ethanol,17.8,5.9,12.2,143.0
1056,Ethylene Glycol Mono n-He xyl Ether 2-Hexyloxy-ethanol,16.0,5.0,11.4,164.5
1004,Ethylene Glycol Mono n-Prop yl Ether 2-Propoxy-ethanol,16.1,8.7,13.5,114.1
379,Ethylene Glycol Monoisopropyl Ether 2-Isopropoxy-ethanol,16.0,8.2,13.1,115.8
924,Ethylene Glycol Monophenyl Ether 2-Phenoxy-ethanol,17.0,7.2,12.3,125.3
383,Ethylene Oxide Oxirane,15.6,10.0,11.0,49.9
384,Ethylene Sulfid Thiirane,19.3,9.0,6.5,59.5
385,"Ethylenediamine Ethane-1,2-diamine",16.6,8.8,17.0,67.3
386,Ethyleneimine Aziridine,18.6,9.8,7.7,51.8
946,2-Ethylhexylamine Ethyl-hexyl-amine,15.7,4.2,6.1,163.3
387,Ethylidene Acetone Pent-3-en-2-one,16.2,12.1,4.5,99.0
389,Ethynyl Methyl Ether Methoxy-ethyne,15.8,8.1,6.5,70.1
388,Ethynyl Propyl Ether 1-Ethynyloxy-propane,15.4,3.8,5.4,104.1
877,Fluorene 9H-Fluorene,20.0,1.7,1.7,138.2
390,1-Fluoro Acrylic Acid 2-Fluoro-acrylic acid,16.0,8.7,13.0,90.0
391,1-Fluoro Acrylonitrile 2-Fluoro-acrylonitrile,14.1,15.4,5.7,88.8
392,Fluorobenzene Fluoro-benzene,18.7,6.1,2.0,94.7
393,Fluoroethylene Fluoro-ethene,15.2,7.0,1.0,57.5
394,Fluoromethane Fluoromethane,13.4,10.6,9.5,40.7395
396,Formaldehyde Formaldehyde,12.8,14.4,15.4,36.8
741,Formyl Fluoride Formyl fluorid,15.0,10.1,8.6,56.5
400,N-Formyl Hexamethylene Imine Azepane-1-carbaldehyde,18.5,10.4,7.6,127.0
402,Fumaronitrile (E)-But-2-enedinitrile,16.7,13.6,7.8,83.0
404,Furfural Furan-2-carbaldehyde,18.6,14.9,5.1,83.2
994,2-Furonitrile Furan-2-carbonitrile,18.4,15.0,8.2,87.5
990,Glycidaldehyde* Oxirane-2-carbaldehyde,17.5,13.4,9.8,63.2
1087,Glycidol Oxiranyl-methanol,18.2,9.0,17.9,66.5
408,Glyoxal (Ethandial) Ethanedial,15.0,17.0,13.3,50.9
931,1-Heptanol Heptan-1-ol,16.0,5.3,11.7,141.4
1044,2-Heptanol Heptan-2-ol,15.7,5.4,11.7,142.9
1013,3-Heptanol Heptan-3-ol,15.9,5.4,11.7,141.2
410,1-Heptene Hept-1-ene,15.0,1.1,2.6,141.9
411,n-Heptyl Acetate Acetic acid heptyl ester,15.8,2.9,5.5,181.1
1097,Hexanal Hexanal,15.8,8.5,5.4,120.2
1022,Hexanoic Acid Hexanoic acid,15.0,4.1,9.4,125.9
930,1-Hexanol Hexan-1-ol,15.9,5.8,12.5,124.9
419,Hexyl Acetate Acetic acid hexyl ester,15.8,2.9,5.9,165.0
420,"Hexylene Glycol Hexane-1,6-diol",15.7,8.4,17.8,123.0
422,Hydrazine Hydrazine,14.2,8.3,8.9,32.1
423,Hydrogen Cyanide Nitrilomethane,12.3,17.6,9.0,39.3
1173,Hydrogen Peroxide Hydrogen peroxide,15.5,12.2,42.7,23.2
424,Hydrogen Sulfid,17.9,6.0,10.2,36.1
991,3-Hydroxy Tetrahydrofuran Tetrahydro-furan-3-ol,18.9,9.4,16.3,80.0
1078,Indene 1H-Indene,18.7,2.6,9.0,116.5
